run_id,timestamp,model,params,n_origins,horizon,parent,notes,vn1,wape,bias_pct,mae
524453e7d8,2026-08-28T22:58:28+00:00,chronos,"{""checkpoint"": ""amazon/chronos-bolt-base"", ""batch_size"": 256, ""quantile"": 0.5, ""point"": ""mean"", ""device"": ""cpu""}",4,13,,"Cycle 4A (Stage 1): Chronos-Bolt base zero-shot, mean readout (memo predicted pooled 0.53-0.58, bias -2..+4%; parent 4248b74828)",0.5877570330934409,0.513369240599906,-0.0743877924935349,8.857472171971583
46df0bba04,2026-08-28T23:00:47+00:00,chronos,"{""checkpoint"": ""amazon/chronos-bolt-base"", ""batch_size"": 256, ""quantile"": 0.65, ""point"": ""quantile"", ""device"": ""cpu""}",4,13,,"Cycle 4B (Stage 1): Chronos-Bolt base zero-shot, quantile-0.65 readout (memo predicted pooled 0.53-0.59, bias -3..+3%; parent 4248b74828)",0.7223465298407004,0.5903280800642537,0.1320184497764466,10.185289900486294
828187da8a,2026-08-28T23:05:05+00:00,chronos,"{""checkpoint"": ""amazon/chronos-bolt-base"", ""batch_size"": 256, ""point"": ""qmean"", ""device"": ""cpu""}",4,13,,"Cycle 4A corrected (Stage 1): Chronos-Bolt trimmed-mean readout (average of 9 trained quantiles). Run 524453e7d8 (point=mean) was a no-op duplicate of 4248b74828 - the chronos package returns the median as 'mean' for Bolt (chronos_bolt.py predict_quantiles NOTE). This executes the memo's actual Option A mechanism (predicted pooled 0.53-0.58, bias -2..+4%)",0.5396448752283274,0.5368168052865082,-0.0028280699418192,9.2620272860828
d047d88915,2026-08-28T23:27:16+00:00,global_lgbm,"{""n_anchors"": 56, ""lgb_params"": {""n_estimators"": 300, ""learning_rate"": 0.08, ""num_leaves"": 127, ""min_child_samples"": 50, ""tweedie_variance_power"": 1.2}}",4,13,,"Cycle 5A (OFF-ROADMAP rival fix, human-approved): global LightGBM Tweedie with 56 anchor weeks - full seasonal cycle in the training matrix (memo predicted pooled 0.53-0.56, Jan bias +25% -> <+12%; parent 7548b6e864)",0.5428660573175887,0.4939082146387719,-0.0489578426788167,8.521699238464059
9ad032350c,2026-08-29T19:16:25+00:00,patchtst,"{""freq"": ""W-MON"", ""accelerator"": ""cpu"", ""distribution"": ""Poisson"", ""num_samples"": 1000, ""model_params"": {""input_size"": 64, ""patch_len"": 8, ""stride"": 8, ""max_steps"": 1500, ""hidden_size"": 128, ""n_heads"": 16, ""batch_size"": 256, ""windows_batch_size"": 1024, ""learning_rate"": 0.001, ""scaler_type"": ""robust"", ""random_seed"": 7}}",4,13,,"Cycle 6B (Stage 2): global PatchTST, Poisson DistributionLoss (retry after NB overflow crash in cycle 6, run n/a), no covariates, distribution-mean readout (memo 2026-08-29-cycle6b predicted pooled 0.52-0.62, lumpy bias |<10.5%|; parent 7548b6e864). Poisson verified stable on spiky real subsample incl. identity scaler where NB deterministically crashes. lr=1e-3 untuned. Env: neuralforecast==3.2.1, torch==2.13.0. Non-bitwise-reproducible (torch); seed=7, num_samples=1000.",0.6515545292257955,0.5807530721106792,0.0708014571151162,10.020086456672468
eb69d1a3bc,2026-08-30T00:42:01+00:00,nhits,"{""freq"": ""W-MON"", ""accelerator"": ""cpu"", ""distribution"": ""Poisson"", ""num_samples"": 1000, ""futr_exog"": [], ""hist_exog"": [], ""stat_exog"": [], ""model_params"": {""input_size"": 64, ""max_steps"": 1500, ""batch_size"": 256, ""windows_batch_size"": 1024, ""learning_rate"": 0.001, ""scaler_type"": ""robust"", ""random_seed"": 7}}",4,13,,"Cycle 7 baseline (Stage 2): global N-HiTS + Poisson, NO covariates — architecture-matched control for the covariate-value delta (memo 2026-08-29-cycle7; parent 7548b6e864). N-HiTS used because PatchTST is univariate-only. Covariate/model logic: src/models/deep.py sha1[:12]=e683abf7266e (config hash does NOT cover model code; valid only against this deep.py revision). Env: neuralforecast==3.2.1, torch==2.13.0; seed=7, num_samples=1000. Non-bitwise-reproducible (torch training + MC-mean readout) — report the OFF/ON delta relative to this jitter.",0.5677486719841665,0.5319576114484225,0.0357910605357439,9.178188655336704
e8987a9d2b,2026-08-30T00:48:49+00:00,nhits,"{""freq"": ""W-MON"", ""accelerator"": ""cpu"", ""distribution"": ""Poisson"", ""num_samples"": 1000, ""futr_exog"": [""woy"", ""month"", ""age""], ""hist_exog"": [""price"", ""price_chg4"", ""wsls""], ""stat_exog"": [""client"", ""warehouse""], ""model_params"": {""input_size"": 64, ""max_steps"": 1500, ""batch_size"": 256, ""windows_batch_size"": 1024, ""learning_rate"": 0.001, ""scaler_type"": ""robust"", ""random_seed"": 7}}",4,13,,"Cycle 7 treatment (Stage 2): global N-HiTS + Poisson WITH covariates (price ffill, price_chg4, wsls, woy, month, age, client, warehouse) — ONE change vs nhits_poisson.yaml: information ON. Tests ROADMAP 'what is that information worth' + the diagnosed phantom-demand driver (memo 2026-08-29-cycle7; parent 7548b6e864). Covariate/model logic: src/models/deep.py sha1[:12]=e683abf7266e (config hash does NOT cover model code; valid only against this deep.py revision). Env: neuralforecast==3.2.1, torch==2.13.0; seed=7, num_samples=1000. Non-bitwise-reproducible (torch training + MC-mean readout) — report the OFF/ON delta relative to this jitter.",0.9955896189491088,0.7304647659500597,0.2651248529990492,12.603153491330495
1bb3cb32c6,2026-08-30T17:21:37+00:00,blend,"{""models"": [{""name"": ""global_lgbm"", ""params"": {""n_anchors"": 56, ""lgb_params"": {""n_estimators"": 300, ""learning_rate"": 0.08, ""num_leaves"": 127, ""min_child_samples"": 50, ""tweedie_variance_power"": 1.2}}}, {""name"": ""chronos"", ""params"": {""checkpoint"": ""amazon/chronos-bolt-base"", ""batch_size"": 256, ""point"": ""qmean"", ""device"": ""cpu""}}], ""weights"": [0.5, 0.5]}",4,13,,"Cycle 9 (Stage 3 - the blend): 50/50 average of GBM-56 (d047d88915, lumpy bias -10.5%) and Chronos-Bolt qmean (828187da8a, lumpy bias +15.2%) via the leak-free blend composite. Weights PINNED 50/50 (untuned - a sweep is shopping). Mechanism: equal-and-opposite lumpy biases should cancel the R4-blocking lumpy bias no single model could fix, while keeping both models' January strength (0.497/0.730 vs champion 0.892). Parent champion 7548b6e864 (GBM-24, 0.5622). Zero new model code. Run with OMP_NUM_THREADS=1 KMP_DUPLICATE_LIB_OK=TRUE (libomp/torch OpenMP mitigation).",0.5191851162148546,0.4932921599045363,-0.0258929563103183,8.511070070930517
57bee33498,2026-08-31T15:11:00+00:00,statsforecast,"{""model"": ""CrostonClassic"", ""params"": {}, ""n_jobs"": 1}",4,13,,"Cycle 10 (OFF-ROADMAP zoo, human-approved): Croston Classic via statsforecast 2.1.1 - the canonical intermittent-demand baseline, previously missing from the ledger. Tier-0 classical. Parent champion 1bb3cb32c6.",0.8495145487011336,0.6246311308570021,-0.2248834178441315,10.777141327843806
771488878b,2026-08-31T15:12:03+00:00,statsforecast,"{""model"": ""CrostonSBA"", ""params"": {}, ""n_jobs"": 1}",4,13,,"Cycle 10 (OFF-ROADMAP zoo, human-approved): Croston SBA (Syntetos-Boylan Approximation, bias-corrected Croston) via statsforecast. Tier-0 intermittent classical. Parent champion 1bb3cb32c6.",0.8824124766374111,0.618773229685486,-0.2636392469519251,10.676071391218404
43f080e588,2026-08-31T15:12:10+00:00,statsforecast,"{""model"": ""TSB"", ""params"": {""alpha_d"": 0.2, ""alpha_p"": 0.2}, ""n_jobs"": 1}",4,13,,"Cycle 10 (OFF-ROADMAP zoo, human-approved): TSB (Teunter-Syntetos-Babai) via statsforecast, alpha_d=alpha_p=0.2 - probability-of-demand decay handles obsolescence/lifecycle churn, expected to beat Croston here. Tier-0 intermittent classical. Parent 1bb3cb32c6.",0.584556462318972,0.527318093806485,-0.057238368512487,9.098140231794982
e8dab74d6a,2026-08-31T15:16:43+00:00,statsforecast,"{""model"": ""AutoETS"", ""params"": {""season_length"": 52}, ""n_jobs"": -1}",4,13,,"Cycle 10 (OFF-ROADMAP zoo, human-approved): AutoETS (automatic exponential smoothing, seasonal 52) via statsforecast - classical non-intermittent yardstick; expected weak on 72%-zero data. Tier-0 classical. Parent 1bb3cb32c6.",0.5714933653246009,0.5593334683643615,0.0121598969602394,9.650520987779236
88447a52f4,2026-08-31T15:17:45+00:00,statsforecast,"{""model"": ""AutoTheta"", ""params"": {""season_length"": 52}, ""n_jobs"": -1}",4,13,,"Cycle 10 (OFF-ROADMAP zoo, human-approved): AutoTheta (M3-winning decomposition, seasonal 52) via statsforecast - classical yardstick. Tier-0 classical. Parent 1bb3cb32c6.",0.5355379772478525,0.5269079529343976,-0.0086300243134549,9.091063821535464
d1083e2be5,2026-08-31T15:28:20+00:00,global_xgb,"{""n_anchors"": 56}",4,13,,"Cycle 10 (OFF-ROADMAP zoo, human-approved): global XGBoost twin of the champion-parent LightGBM - same feature pipeline (lags/rolls/lifecycle/price/woy), Tweedie objective (variance_power 1.2), lossguide 127 leaves, 56 anchors. Tier-1 ML comparison; tests whether the booster choice matters vs LightGBM 0.5622. Parent 1bb3cb32c6.",0.5509137582593707,0.4950980566869872,-0.0558157015723835,8.542228307986793
523f9c23da,2026-08-31T15:46:36+00:00,global_cat,"{""n_anchors"": 56}",4,13,,"Cycle 10 (OFF-ROADMAP zoo, human-approved): global CatBoost twin of the champion-parent LightGBM - same feature pipeline, Tweedie loss (variance_power 1.2), symmetric depth-7 trees, client/warehouse as native cat_features, 56 anchors. Tier-1 ML comparison. Parent 1bb3cb32c6.",0.5288650044911223,0.5075625263543049,-0.0213024781368174,8.75728539455403
f7d0b97ce8,2026-08-31T20:17:12+00:00,tft,"{""distribution"": ""Poisson"", ""num_samples"": 1000}",4,13,,"Cycle 10 (OFF-ROADMAP zoo, human-approved): global Temporal Fusion Transformer + Poisson DistributionLoss, NO covariates, distribution-mean readout. Tier-2 deep comparison. Passed mandatory bias-ratio smoke (300 steps, 3000 spiky series: ratio 1.056, in-band). Model logic src/models/deep.py sha1[:12]=6ecd0196997a. Env neuralforecast==3.2.1 torch==2.13.0; seed=7 num_samples=1000; non-bitwise-reproducible. Parent 1bb3cb32c6.",0.5494344764712951,0.5464910907795358,0.0029433856917591,9.428943625749094
bf6eab60fb,2026-08-31T21:15:08+00:00,deepar,"{""distribution"": ""Poisson"", ""num_samples"": 1000}",4,13,,"Cycle 10 (OFF-ROADMAP zoo, human-approved): global DeepAR (autoregressive probabilistic RNN) + Poisson DistributionLoss, NO covariates, distribution-mean readout. Tier-2 deep comparison. Passed mandatory bias-ratio smoke (300 steps, 3000 spiky series: ratio 1.123, in-band). Model logic src/models/deep.py sha1[:12]=6ecd0196997a. Env neuralforecast==3.2.1 torch==2.13.0; seed=7 num_samples=1000; non-bitwise-reproducible (torch + MC-mean). Parent 1bb3cb32c6.",0.5851669311033058,0.5536992212616335,-0.0314677098416721,9.553309891017562
92906cd09e,2026-08-31T21:44:35+00:00,chronos,"{""checkpoint"": ""amazon/chronos-2"", ""batch_size"": 256, ""point"": ""qmean"", ""device"": ""cpu""}",4,13,,"Cycle 10 (OFF-ROADMAP zoo, human-approved): Chronos-2 zero-shot, trimmed-mean readout (average of 9 quantile heads 0.1..0.9). Point-readout semantics verified on 300 real series (origin 2023-07-10): predict_quantiles returns the MEDIAN in the 'mean' slot exactly as Bolt does (mean==0.5-quantile, both sumF=127,003; qmean distinct at 133,687) - so point=mean would be a no-op duplicate of the median (the 524453e7d8 trap). qmean is the calibrated readout that made Bolt-qmean 828187da8a bias -0.3%. Tier-4 foundation model; the single likeliest gate candidate of the zoo (predicted pooled 0.50-0.56). Wrapper: Chronos2Pipeline branch in src/models/chronos.py; run with OMP_NUM_THREADS=1 KMP_DUPLICATE_LIB_OK=TRUE. Parent champion 1bb3cb32c6.",1.0713164864188414,0.8093483729490236,0.2619681134698177,13.96418040638598
461e681f0d,2026-08-31T21:50:33+00:00,chronos,"{""checkpoint"": ""amazon/chronos-2"", ""batch_size"": 256, ""quantile"": 0.5, ""point"": ""quantile"", ""device"": ""cpu""}",4,13,,"Cycle 10 (OFF-ROADMAP zoo, human-approved): Chronos-2 zero-shot, MEDIAN readout - readout disambiguation for the same approved zoo item after the qmean run 92906cd09e blew up on lumpy (segment VN1 3.76, bias +157.0%, pooled 1.0713): Bolt's trimmed-mean calibration does NOT transfer to Chronos-2, whose upper quantile heads are far heavier on zero-inflated series. This median run gives the fair single number for the paper's comparison table (Bolt precedent: median 4248b74828 0.5878 vs qmean 828187da8a 0.5396 - opposite ordering expected here). Parent 92906cd09e.",0.6040205346733032,0.5102304281294253,-0.0937901065438778,8.80331632874687
451ecc4919,2026-08-31T21:51:13+00:00,ttm,"{""checkpoint"": ""ibm-granite/granite-timeseries-ttm-r2"", ""context_length"": 90, ""batch_size"": 1024, ""freq"": ""W""}",4,13,,"Cycle 10 (OFF-ROADMAP zoo, human-approved): IBM Granite TinyTimeMixer r2 zero-shot - get_model picks revision 90-30-ft-r2.1 for (context 90w, h 13) with prediction_filter_length=13; weekly freq_token=9 required by the r2.1 frequency-prefix forward (verified probe 2026-08-31: no NaN, sane on all-zero/lumpy/smooth). Point forecaster (MSE head) - no readout ambiguity. Tier-4 foundation model. Run from the throwaway isolated venv (granite-tsfm RED vs main venv: transformers 5.16/torch 2.11; pandas<3 pinned to protect harness behavior). Wrapper src/models/ttm_fm.py. Parent champion 1bb3cb32c6.",0.7594552430219834,0.5601972809453752,-0.1992579620766082,9.665424872338402
7c77d54b6f,2026-08-31T21:51:31+00:00,moirai,"{""checkpoint"": ""Salesforce/moirai-2.0-R-small"", ""batch_size"": 64, ""quantile"": 0.5, ""point"": ""quantile"", ""device"": ""cpu""}",4,13,,"Cycle 10 (OFF-ROADMAP zoo, human-approved): Moirai 2.0 R-small zero-shot (Salesforce, uni2ts 2.0), MEDIAN readout. Readout chosen after the Chronos-2 qmean blowup (92906cd09e, lumpy bias +157%): FM upper quantile heads on zero-inflated series are untrustworthy by default, and gluonts QuantileForecast.mean IS the median (no genuine mean head - the 524453e7d8 trap, third occurrence). Tier-4 foundation model. Run from the throwaway isolated venv (uni2ts stack is RED vs main venv: torch 2.4.1/pandas 2.1.4). Wrapper src/models/moirai_fm.py. Parent champion 1bb3cb32c6.",0.6814176697388726,0.4780804648980813,-0.2033372048407913,8.248613432409003
3330b31053,2026-08-31T23:07:05+00:00,blend,"{""models"": [{""name"": ""global_cat"", ""params"": {""n_anchors"": 56}}, {""name"": ""chronos"", ""params"": {""checkpoint"": ""amazon/chronos-bolt-base"", ""batch_size"": 256, ""point"": ""qmean"", ""device"": ""cpu""}}], ""weights"": [0.5, 0.5]}",4,13,,"Cycle 11 Option A (Stage 3 continuation, human-approved beam): straight swap - 50/50 blend of CatBoost-56 (523f9c23da, lumpy bias -1.3%) + Chronos-Bolt qmean (828187da8a, lumpy bias +15.2%). FALSIFICATION ARM: linear bias arithmetic computes lumpy bias +6.9% (CatBoost's neutral lumpy bias deletes the champion's equal-and-opposite cancellation) -> registered prediction: pooled 0.505-0.525 BUT lumpy VN1 >0.712 = computed R4 fail (memo 2026-08-31-cycle11). Weights pinned 50/50. Zero new code. Run with OMP_NUM_THREADS=1 KMP_DUPLICATE_LIB_OK=TRUE. Parent champion 1bb3cb32c6.",0.5158682370130083,0.5038029629736901,-0.0120652740393181,8.692419357812822
4f9b475ead,2026-08-31T23:31:48+00:00,blend,"{""models"": [{""name"": ""global_lgbm"", ""params"": {""n_anchors"": 56, ""lgb_params"": {""n_estimators"": 300, ""learning_rate"": 0.08, ""num_leaves"": 127, ""min_child_samples"": 50, ""tweedie_variance_power"": 1.2}}}, {""name"": ""global_cat"", ""params"": {""n_anchors"": 56}}, {""name"": ""chronos"", ""params"": {""checkpoint"": ""amazon/chronos-bolt-base"", ""batch_size"": 256, ""point"": ""qmean"", ""device"": ""cpu""}}], ""weights"": [0.3333333333, 0.3333333333, 0.3333333334]}",4,13,,"Cycle 11 Option B (Stage 3 continuation, human-approved beam, RECOMMENDED): three-way equal blend of GBM-56 (d047d88915) + CatBoost-56 (523f9c23da) + Chronos-Bolt qmean (828187da8a). Mechanism: keeps the champion's equal-and-opposite lumpy cancellation (computed lumpy bias (-10.5-1.3+15.2)/3 = +1.1%, better than champion's +2.3%) while CatBoost's pooled strength nudges WAPE down. Registered prediction: pooled 0.512-0.524 (coin flip vs champion 0.5192), lumpy <=0.68, clears R4 (memo 2026-08-31-cycle11). Weights pinned equal (untuned - a sweep is shopping). Zero new code. Run with OMP_NUM_THREADS=1 KMP_DUPLICATE_LIB_OK=TRUE. Parent champion 1bb3cb32c6.",0.5136968266991631,0.4893340297821652,-0.0243627969169977,8.442778041258121
b12f62f304,2026-09-01T01:03:21+00:00,weight_fit_blend,"{""holdout_weeks"": 13, ""models"": [{""name"": ""global_lgbm"", ""params"": {""n_anchors"": 56, ""lgb_params"": {""n_estimators"": 300, ""learning_rate"": 0.08, ""num_leaves"": 127, ""min_child_samples"": 50, ""tweedie_variance_power"": 1.2}}}, {""name"": ""global_cat"", ""params"": {""n_anchors"": 56}}, {""name"": ""chronos"", ""params"": {""checkpoint"": ""amazon/chronos-bolt-base"", ""batch_size"": 256, ""point"": ""qmean"", ""device"": ""cpu""}}, {""name"": ""chronos"", ""params"": {""checkpoint"": ""amazon/chronos-2"", ""batch_size"": 256, ""quantile"": 0.5, ""point"": ""quantile"", ""device"": ""cpu""}}]}",4,13,,"Cycle 12 Option A (Stage 3 continuation, human-approved): 4-way PRINCIPLED-WEIGHT blend of GBM-56 (d047d88915) + CatBoost-56 (523f9c23da) + Bolt-qmean (828187da8a) + Chronos-2-median (461e681f0d). Weights FIT leak-free per origin on the last 13 in-training weeks via one deterministic SLSQP simplex solve minimizing holdout VN1 (WeightFitBlend, memo 2026-08-31-cycle12; no grids, no repeats - a gate failure does NOT license protocol variants). Mechanism: fitted weights can admit Chronos-2-median at the sub-1/4 weight its -9.4% pooled bias demands (equal weights arithmetically cannot), buying its elite smooth (0.351) and January strength while keeping the lumpy cancellation. Registered: chronos2 weight 0.10-0.30 at >=3 origins; pooled 0.503-0.520 (coin flip vs champion 0.5137); Jan origin <=0.573. Run with OMP_NUM_THREADS=1 KMP_DUPLICATE_LIB_OK=TRUE, fresh process (libomp caution). Parent champion 4f9b475ead.",0.538265493366375,0.4908392398382465,-0.0474262535281284,8.46874834709322
9c198e246f,2026-09-01T20:25:13+00:00,timesfm,"{""checkpoint"": ""google/timesfm-3.0-pytorch"", ""batch_size"": 128, ""max_context"": 512, ""point"": ""quantile"", ""quantile"": 0.5}",4,13,,"Cycle 13-b (OFF-ROADMAP zoo addendum, human-approved): TimesFM-3 330M zero-shot (released 2026-08-31), MEDIAN readout. Semantics verified on 300 real series (origin 2023-07-10): the native point head IS the median (sumF byte-identical 1,291,845) - the median-as-point pattern now holds in ALL FOUR FM families (Bolt 524453e7d8, Chronos-2, gluonts/Moirai, TimesFM-3). Univariate only per memo 2026-09-01-cycle13b; covariates out of scope. timesfm pip 2.0.2->3.0.0 (GREEN, zero dep changes; 2.5 API preserved so e8a11552ec stays reproducible). Comparison run - the quiet-2-of-2 stopping-rule declaration stands unless this computes a pooled win. Parent champion 4f9b475ead.",0.7303680465763044,0.6606656068812341,0.0697024396950703,11.398866089232389
8582538c28,2026-09-01T20:52:16+00:00,timesfm,"{""checkpoint"": ""google/timesfm-3.0-pytorch"", ""batch_size"": 128, ""max_context"": 512, ""point"": ""qmean""}",4,13,,"Cycle 13-b (OFF-ROADMAP zoo addendum, human-approved): TimesFM-3 330M zero-shot, QMEAN readout (mean of the nine quantile heads 0.1..0.9) - the family-fix hypothesis: TimesFM-2.5's point head under-forecast intermittent by -23% (e8a11552ec); v3's new quantile heads allow the trimmed-mean readout that made Bolt-qmean the only well-calibrated zero-shot model (828187da8a, -0.3%). Registered: intermittent bias lands in -10..+5%; pooled 0.52-0.62; does NOT beat champion 0.5137. Per the readout-transfer prior, calibration NOT assumed - semantics test + bias smoke passed before this run. Univariate only. Parent champion 4f9b475ead.",1.0255672818888333,0.7827006753884252,0.24286660650040792,13.504411450781438
